Time - Plot 0	Bar - Plot 0	
16:36:45,56	-0,829084	
16:36:45,57	-0,651981	
16:36:45,58	-1,8917	
16:36:45,59	-1,00619	
16:36:45,60	-0,563429	
16:36:45,61	-0,829084	
16:36:45,62	-0,784808	
16:36:45,63	-1,80315	
16:36:45,64	-1,7146	
16:36:45,65	1,47326	
16:36:45,66	-1,62605	
16:36:45,67	-0,164947	
16:36:45,68	-1,44895	
16:36:45,69	0,587741	
16:36:45,70	-0,917636	
16:36:45,71	0,233535	
16:36:45,72	-2,42301	
16:36:45,73	-1,00619	
16:36:45,74	-1,36039	
16:36:45,75	1,07478	
16:36:45,76	-2,42301	
16:36:45,77	0,100707	
16:36:45,78	-1,93598	
16:36:45,79	1,11905	
16:36:45,80	-1,18329	
16:36:45,81	-1,75888	
16:36:45,82	-1,27184	
16:36:45,83	0,100707	
16:36:45,84	-0,696257	
16:36:45,85	0,0564317	
16:36:45,86	-2,42301	
16:36:45,86	1,56181	
16:36:45,87	-3,3528	
16:36:45,88	-0,0321199	
16:36:45,89	-3,97267	
16:36:45,90	-0,386326	
16:36:45,91	-3,70701	
16:36:45,92	-0,0763957	
16:36:45,93	-1,75888	
16:36:45,94	-0,209223	
16:36:45,95	-3,04287	
16:36:45,96	-0,297775	
16:36:45,97	-2,24591	
16:36:45,98	-1,31612	
16:36:45,99	-2,29019	
16:36:46,00	-1,18329	
16:36:46,01	-1,49322	
16:36:46,02	-0,917636	
16:36:46,03	-1,8917	
16:36:46,04	-0,607705	
16:36:46,05	-0,474878	
16:36:46,06	-0,651981	
16:36:46,07	-3,3528	
16:36:46,08	-0,917636	
16:36:46,09	0,144983	
16:36:46,10	-1,67032	
16:36:46,11	0,454914	
16:36:46,12	-1,58177	
16:36:46,13	0,0121559	
16:36:46,14	-1,58177	
16:36:46,15	-0,209223	
16:36:46,16	-2,33446	
16:36:46,17	1,91602	
16:36:46,18	-1,8917	
16:36:46,19	-1,62605	
16:36:46,20	-1,36039	
16:36:46,21	-3,21998	
16:36:46,22	0,100707	
16:36:46,23	-3,70701	
16:36:46,24	0,0564317	
16:36:46,25	-3,08715	
16:36:46,26	-0,342051	
16:36:46,27	-3,3528	
16:36:46,28	-0,209223	
16:36:46,29	-3,26425	
16:36:46,30	-0,386326	
16:36:46,31	-2,8215	
16:36:46,32	-0,740533	
16:36:46,33	-0,917636	
16:36:46,34	-0,740533	
16:36:46,35	-1,00619	
16:36:46,36	-1,62605	
16:36:46,37	1,07478	
16:36:46,38	-1,62605	
16:36:46,39	-0,430602	
16:36:46,40	-1,31612	
16:36:46,41	-1,62605	
16:36:46,42	-0,519154	
16:36:46,43	-1,5375	
16:36:46,44	-1,7146	
16:36:46,45	0,144983	
16:36:46,46	-0,87336	
16:36:46,47	-1,7146	
16:36:46,48	-1,09474	
16:36:46,49	-0,829084	
16:36:46,50	-1,8917	
16:36:46,51	1,60608	
16:36:46,52	-2,20163	
16:36:46,53	1,34043	
16:36:46,54	-2,42301	
16:36:46,55	1,56181	
16:36:46,56	-2,33446	
16:36:46,56	1,29615	
16:36:46,57	-3,13143	
16:36:46,58	1,0305	
16:36:46,59	-3,21998	
16:36:46,60	0,100707	
16:36:46,61	-3,26425	
16:36:46,62	-0,342051	
16:36:46,63	-1,8917	
16:36:46,64	-2,02453	
16:36:46,65	0,100707	
16:36:46,66	-0,474878	
16:36:46,67	-3,26425	
16:36:46,68	-0,696257	
16:36:46,69	-0,519154	
16:36:46,70	-1,31612	
16:36:46,71	-2,91005	
16:36:46,72	-1,18329	
16:36:46,73	0,897672	
16:36:46,74	-2,46729	
16:36:46,74	1,69464	
16:36:46,76	-2,29019	
16:36:46,77	0,410638	
16:36:46,78	-2,51156	
16:36:46,79	-1,80315	
16:36:46,80	-0,917636	
16:36:46,81	-0,297775	
16:36:46,82	-1,7146	
16:36:46,83	-1,27184	
16:36:46,84	-1,5375	
16:36:46,85	0,897672	
16:36:46,86	-1,93598	
16:36:46,87	0,0564317	
16:36:46,88	-2,42301	
16:36:46,89	1,91602	
16:36:46,89	-3,70701	
16:36:46,90	2,00457	
16:36:46,91	-3,30853	
16:36:46,92	0,0564317	
16:36:46,93	-3,66274	
16:36:46,94	-1,36039	
16:36:46,95	0,100707	
16:36:46,96	-1,84743	
16:36:46,97	-0,519154	
16:36:46,98	-2,51156	
16:36:46,99	0,941948	
16:36:47,00	-1,62605	
16:36:47,01	1,87174	
16:36:47,02	-1,31612	
16:36:47,03	-0,120672	
16:36:47,04	-0,961912	
16:36:47,05	0,322086	
16:36:47,06	-1,00619	
16:36:47,07	-2,20163	
16:36:47,08	-1,05046	
16:36:47,09	-1,7146	
16:36:47,10	-1,36039	
16:36:47,11	0,410638	
16:36:47,12	-1,58177	
16:36:47,13	-2,77722	
16:36:47,14	-0,297775	
16:36:47,15	-3,30853	
16:36:47,16	-1,49322	
16:36:47,17	-3,39708	
16:36:47,18	-0,961912	
16:36:47,19	-0,917636	
16:36:47,20	-2,15736	
16:36:47,21	-2,55584	
16:36:47,22	-0,0763957	
16:36:47,23	-2,60012	
16:36:47,24	0,49919	
16:36:47,25	-3,48563	
16:36:47,26	-0,342051	
16:36:47,27	-3,13143	
16:36:47,28	0,233535	
16:36:47,29	-3,1757	
16:36:47,30	-0,829084	
16:36:47,31	-3,1757	
16:36:47,32	-0,164947	
16:36:47,33	-2,9986	
16:36:47,34	-0,386326	
16:36:47,35	-3,26425	
16:36:47,36	-1,98026	
16:36:47,37	-1,31612	
16:36:47,38	-0,961912	
16:36:47,39	-0,253499	
16:36:47,40	-1,67032	
16:36:47,41	-1,40467	
16:36:47,42	-1,36039	
16:36:47,43	0,189259	
16:36:47,44	-1,44895	
16:36:47,45	-0,209223	
16:36:47,46	-1,98026	
16:36:47,47	0,897672	
16:36:47,48	-0,917636	
16:36:47,49	-0,253499	
16:36:47,50	-1,22757	
16:36:47,51	-0,740533	
16:36:47,52	-1,44895	
16:36:47,53	0,986223	
16:36:47,54	-1,75888	
16:36:47,55	-0,297775	
16:36:47,56	-1,22757	
16:36:47,57	1,11905	
16:36:47,58	-0,563429	
16:36:47,59	-0,87336	
16:36:47,60	-1,80315	
16:36:47,61	-0,519154	
16:36:47,62	-1,09474	
16:36:47,63	1,38471	
16:36:47,64	-1,80315	
16:36:47,65	1,96029	
16:36:47,66	-2,15736	
16:36:47,67	1,73891	
16:36:47,68	-2,68867	
16:36:47,68	1,07478	
16:36:47,69	-3,08715	
16:36:47,70	-0,0763957	
16:36:47,71	-3,66274	
16:36:47,72	-0,386326	
16:36:47,73	-0,829084	
16:36:47,74	-1,5375	
16:36:47,75	-1,7146	
16:36:47,76	-1,09474	
16:36:47,77	-0,519154	
16:36:47,78	-0,87336	
16:36:47,79	-2,64439	
16:36:47,80	-0,740533	
16:36:47,81	-3,3528	
16:36:47,82	-0,297775	
16:36:47,83	-2,24591	
16:36:47,84	-1,27184	
16:36:47,85	0,676293	
16:36:47,86	-2,02453	
16:36:47,87	-1,58177	
16:36:47,88	-0,740533	
16:36:47,89	-0,917636	
16:36:47,90	-1,67032	
16:36:47,91	-1,22757	
16:36:47,92	-0,784808	
16:36:47,93	-0,651981	
16:36:47,94	-1,18329	
16:36:47,95	2,00457	
16:36:47,96	-1,84743	
16:36:47,97	0,49919	
16:36:47,98	-1,80315	
16:36:47,99	2,27022	
16:36:47,99	-3,44136	
16:36:48,01	1,82746	
16:36:48,02	-2,02453	
16:36:48,03	1,47326	
16:36:48,04	-1,58177	
16:36:48,05	-1,27184	
16:36:48,06	-1,75888	
16:36:48,07	1,16333	
16:36:48,08	-1,13901	
16:36:48,09	-1,58177	
16:36:48,10	-1,44895	
16:36:48,11	-1,58177	
16:36:48,12	-0,474878	
16:36:48,13	-1,75888	
16:36:48,14	-0,474878	
16:36:48,15	-3,08715	
16:36:48,16	-1,22757	
16:36:48,17	-0,519154	
16:36:48,18	-1,09474	
16:36:48,19	0,941948	
16:36:48,20	-1,84743	
16:36:48,21	0,49919	
16:36:48,22	-2,51156	
16:36:48,23	-0,164947	
16:36:48,24	-1,18329	
16:36:48,25	0,0121559	
16:36:48,26	-1,93598	
16:36:48,27	1,82746	
16:36:48,28	-1,98026	
16:36:48,29	1,0305	
16:36:48,30	-2,51156	
16:36:48,31	0,410638	
16:36:48,32	-1,93598	
16:36:48,33	1,82746	
16:36:48,34	-2,02453	
16:36:48,35	0,366362	
16:36:48,36	-1,62605	
16:36:48,37	0,454914	
16:36:48,38	-1,18329	
16:36:48,39	2,13739	
16:36:48,40	-2,73294	
16:36:48,40	0,853396	
16:36:48,41	-3,52991	
16:36:48,42	1,2076	
16:36:48,43	-3,21998	
16:36:48,44	-0,342051	
16:36:48,45	-1,7146	
16:36:48,46	-0,164947	
16:36:48,47	-3,30853	
16:36:48,48	-0,120672	
16:36:48,49	-3,3528	
16:36:48,50	1,07478	
16:36:48,51	-3,66274	
16:36:48,52	-0,607705	
16:36:48,53	-0,651981	
16:36:48,54	-0,961912	
16:36:48,55	-1,05046	
16:36:48,56	-1,18329	
16:36:48,57	-1,00619	
16:36:48,58	-0,696257	
16:36:48,59	-1,00619	
16:36:48,60	-1,5375	
16:36:48,61	-1,22757	
16:36:48,62	-0,961912	
16:36:48,63	-0,164947	
16:36:48,64	-0,253499	
16:36:48,65	-3,97267	
16:36:48,66	-0,87336	
16:36:48,67	-3,79556	
16:36:48,68	0,322086	
16:36:48,69	-3,70701	
16:36:48,70	-0,607705	
16:36:48,71	-3,57418	
16:36:48,72	-0,342051	
16:36:48,73	-1,36039	
16:36:48,74	0,144983	
16:36:48,75	-3,83984	
16:36:48,76	0,0121559	
16:36:48,77	-3,26425	
16:36:48,78	-0,120672	
16:36:48,79	-3,48563	
16:36:48,80	-0,342051	
16:36:48,81	-0,386326	
16:36:48,82	-1,31612	
16:36:48,83	-0,519154	
16:36:48,84	-0,563429	
16:36:48,85	-2,11308	
16:36:48,86	-0,519154	
16:36:48,88	-2,42301	
16:36:48,89	-1,00619	
16:36:48,90	-0,0763957	
16:36:48,92	-2,37874	
16:36:48,93	1,38471	
16:36:48,94	-1,98026	
16:36:48,95	-0,342051	
16:36:48,96	-0,829084	
16:36:48,97	0,410638	
16:36:48,98	-1,40467	
16:36:48,99	-0,740533	
16:36:49,00	-1,13901	
16:36:49,01	-3,61846	
16:36:49,02	-0,164947	
16:36:49,03	-2,8215	
16:36:49,04	-0,164947	
16:36:49,05	-3,30853	
16:36:49,06	0,0564317	
16:36:49,07	-3,57418	
16:36:49,08	-0,209223	
16:36:49,09	-3,48563	
16:36:49,10	-0,563429	
16:36:49,11	-1,13901	
16:36:49,12	-1,80315	
16:36:49,13	0,0121559	
16:36:49,14	-1,49322	
16:36:49,15	1,60608	
16:36:49,16	-0,651981	
16:36:49,17	0,277811	
16:36:49,18	-1,98026	
16:36:49,19	1,91602	
16:36:49,19	-2,60012	
16:36:49,21	1,0305	
16:36:49,22	-1,7146	
16:36:49,23	0,410638	
16:36:49,24	-1,36039	
16:36:49,25	1,2076	
16:36:49,26	-2,42301	
16:36:49,27	2,04884	
16:36:49,28	-2,60012	
16:36:49,28	1,42898	
16:36:49,29	-3,30853	
16:36:49,30	1,82746	
16:36:49,31	-4,14977	
16:36:49,32	1,29615	
16:36:49,33	-3,39708	
16:36:49,34	-0,430602	
16:36:49,35	-1,5375	
16:36:49,36	-0,430602	
16:36:49,37	-2,86577	
16:36:49,38	-1,40467	
16:36:49,39	-1,05046	
16:36:49,40	-1,05046	
16:36:49,41	0,454914	
16:36:49,42	-1,58177	
16:36:49,43	-1,00619	
16:36:49,44	-1,13901	
16:36:49,45	1,96029	
16:36:49,46	-0,961912	
16:36:49,47	-1,09474	
16:36:49,48	-1,27184	
16:36:49,49	1,2076	
16:36:49,49	-2,55584	
16:36:49,51	1,82746	
16:36:49,52	-2,20163	
16:36:49,52	1,42898	
16:36:49,53	-3,30853	
16:36:49,54	0,941948	
16:36:49,56	-2,06881	
16:36:49,57	1,16333	
16:36:49,58	-0,651981	
16:36:49,59	0,587741	
16:36:49,60	-2,02453	
16:36:49,61	1,73891	
16:36:49,62	-2,55584	
16:36:49,62	1,29615	
16:36:49,63	-3,26425	
16:36:49,64	1,69464	
16:36:49,65	-2,91005	
16:36:49,66	0,277811	
16:36:49,67	-3,61846	
16:36:49,68	-0,297775	
16:36:49,69	-2,68867	
16:36:49,70	-1,44895	
16:36:49,71	-2,60012	
16:36:49,72	-0,342051	
16:36:49,73	-3,13143	
16:36:49,74	-0,120672	
16:36:49,75	-3,79556	
16:36:49,76	-0,253499	
16:36:49,77	-3,52991	
16:36:49,78	-0,120672	
16:36:49,79	-1,31612	
16:36:49,80	-1,62605	
16:36:49,81	-1,80315	
16:36:49,82	-0,740533	
16:36:49,83	-0,0763957	
16:36:49,84	-1,44895	
16:36:49,85	1,07478	
16:36:49,86	-1,62605	
16:36:49,87	1,91602	
16:36:49,88	-1,67032	
16:36:49,89	-0,0321199	
16:36:49,90	-2,33446	
16:36:49,90	1,69464	
16:36:49,91	-3,13143	
16:36:49,92	1,56181	
16:36:49,93	-3,66274	
16:36:49,94	0,189259	
16:36:49,95	-3,3528	
16:36:49,96	-0,0763957	
16:36:49,97	-3,57418	
16:36:49,98	-0,342051	
16:36:49,99	-3,1757	
16:36:50,00	-0,209223	
16:36:50,01	-1,7146	
16:36:50,02	-0,696257	
16:36:50,03	-1,18329	
16:36:50,04	-0,342051	
16:36:50,05	-2,15736	
16:36:50,06	-0,342051	
16:36:50,07	-2,9986	
16:36:50,08	-1,18329	
16:36:50,09	-2,55584	
16:36:50,10	-0,917636	
16:36:50,11	-0,430602	
16:36:50,12	-1,5375	
16:36:50,13	1,82746	
16:36:50,14	-1,93598	
16:36:50,15	2,35877	
16:36:50,16	-2,02453	
16:36:50,17	1,51753	
16:36:50,18	-1,40467	
16:36:50,19	-1,36039	
16:36:50,20	-0,607705	
16:36:50,21	-0,563429	
16:36:50,22	-0,784808	
16:36:50,23	1,11905	
16:36:50,24	-2,02453	
16:36:50,25	2,35877	
16:36:50,25	-2,77722	
16:36:50,26	-0,0321199	
16:36:50,27	-2,86577	
16:36:50,28	1,2076	
16:36:50,29	-3,97267	
16:36:50,30	0,0564317	
16:36:50,31	-3,21998	
16:36:50,32	0,144983	
16:36:50,33	-3,04287	
16:36:50,34	-0,253499	
16:36:50,35	-3,66274	
16:36:50,36	-0,740533	
16:36:50,37	-2,9986	
16:36:50,38	-1,18329	
16:36:50,39	-1,62605	
16:36:50,40	-1,40467	
16:36:50,41	-3,30853	
16:36:50,42	-0,740533	
16:36:50,43	0,0564317	
16:36:50,44	-1,00619	
16:36:50,45	0,0121559	
16:36:50,46	-1,13901	
16:36:50,47	0,144983	
16:36:50,48	-0,87336	
16:36:50,49	-1,31612	
16:36:50,50	-1,00619	
16:36:50,51	-2,95432	
16:36:50,52	-0,563429	
16:36:50,53	-0,430602	
16:36:50,54	-1,62605	
16:36:50,55	1,65036	
16:36:50,56	-1,13901	
16:36:50,57	-1,44895	
16:36:50,58	-1,84743	
16:36:50,59	-0,0321199	
16:36:50,60	-2,51156	
16:36:50,61	1,51753	
16:36:50,62	-2,11308	
16:36:50,62	1,65036	
16:36:50,63	-3,21998	
16:36:50,64	1,16333	
16:36:50,65	-3,39708	
16:36:50,66	0,189259	
16:36:50,67	-3,57418	
16:36:50,68	0,144983	
16:36:50,69	-2,68867	
16:36:50,70	-0,696257	
16:36:50,71	-4,19404	
16:36:50,72	0,100707	
16:36:50,73	-3,61846	
16:36:50,75	1,78319	
16:36:50,76	-2,29019	
16:36:50,76	1,73891	
16:36:50,77	-3,52991	
16:36:50,78	1,11905	
16:36:50,79	-3,04287	
16:36:50,80	1,87174	
16:36:50,81	-3,57418	
16:36:50,82	0,233535	
16:36:50,83	-3,79556	
16:36:50,84	1,47326	
16:36:50,85	-2,42301	
16:36:50,86	0,986223	
16:36:50,87	-2,77722	
16:36:50,88	1,47326	
16:36:50,89	-3,39708	
16:36:50,90	-0,297775	
16:36:50,91	-3,21998	
16:36:50,92	0,0121559	
16:36:50,93	-2,91005	
16:36:50,94	-0,164947	
16:36:50,95	-3,83984	
16:36:50,96	-0,342051	
16:36:50,97	-3,30853	
16:36:50,98	0,0564317	
16:36:50,99	-2,95432	
16:36:51,00	-1,40467	
16:36:51,01	-2,73294	
16:36:51,02	-0,651981	
16:36:51,03	-1,05046	
16:36:51,04	-0,209223	
16:36:51,05	-1,80315	
16:36:51,06	-0,961912	
16:36:51,07	-1,75888	
16:36:51,08	-0,430602	
16:36:51,09	-2,95432	
16:36:51,10	-0,297775	
16:36:51,11	-3,30853	
16:36:51,12	-0,386326	
16:36:51,13	-1,5375	
16:36:51,14	-0,253499	
